TimeStamp;Axe;Boat;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead;Axe;Boat;RightHand;LeftHand;Anchor;Head;Mjolnir;OxHead
0.36;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.38;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.4;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.42;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.8, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.44;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.9, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.46;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.9, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.48;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.9, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.5;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.9, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.52;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.3);(1019.7, 14.4, 638.4);(1004.9, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.54;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.4);(1019.7, 14.4, 638.4);(1004.9, 17.4, 560.2);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.56;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.5, 16.5, 560.3);(1005.1, 16.6, 560.4);(1019.7, 14.4, 638.4);(1005.0, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.58;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.6, 16.5, 560.3);(1005.1, 16.6, 560.4);(1019.7, 14.4, 638.4);(1005.0, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.6;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.6, 16.5, 560.3);(1005.1, 16.6, 560.4);(1019.7, 14.4, 638.4);(1005.0, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.62;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.6, 16.5, 560.3);(1005.1, 16.6, 560.4);(1019.7, 14.4, 638.4);(1005.0, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.64;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.6, 16.5, 560.3);(1005.2, 16.6, 560.4);(1019.7, 14.4, 638.4);(1005.0, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.66;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.6, 16.6, 560.3);(1005.2, 16.6, 560.4);(1019.7, 14.4, 638.4);(1005.0, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.68;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.6, 16.6, 560.3);(1005.2, 16.6, 560.4);(1019.7, 14.4, 638.4);(1005.1, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
0.7;(975.9, 19.1, 634.5);(1018.6, 14.4, 638.9);(1004.7, 16.6, 560.3);(1005.2, 16.7, 560.4);(1019.7, 14.4, 638.4);(1005.1, 17.4, 560.3);(977.5, 18.9, 634.9);(970.7, 20.2, 632.6)
